[04Jul2025 00:08:38.617] [Server thread/WARN] [tombstone/]: The death event of the player elpepe was canceled by another mod
[04Jul2025 00:08:38.620] [Server thread/INFO] [tombstone/]: The player elpepe has successfully been saved
[04Jul2025 00:09:14.695] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: elpepe burned to death
[04Jul2025 00:13:35.714] [Server thread/WARN] [tombstone/]: The death event of the player elpepe was canceled by another mod
[04Jul2025 00:13:35.716] [Server thread/INFO] [tombstone/]: The player elpepe has successfully been saved
[04Jul2025 00:13:58.940] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: elpepe was slain by Umvuthi, the Sunbird
[04Jul2025 00:14:20.163] [Server thread/INFO] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: elpepe lost connection: Timed out
[04Jul2025 00:14:20.163] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: elpepe left the game
[04Jul2025 00:15:00.969] [Server thread/INFO] [net.minecraft.server.players.PlayerList/]: elpepe[/100.71.192.84:64772] logged in with entity id 118762 at (-2161.5, 78.0, 1752.5)
[04Jul2025 00:15:00.976] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: elpepe joined the game
[04Jul2025 00:17:32.596] [Server thread/INFO] [net.minecraft.server.players.PlayerList/]: Misterchuwa[/100.99.92.13:55991] logged in with entity id 119591 at (-255.21041849040378, 66.0, 1165.8965891161936)
[04Jul2025 00:17:32.602] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Misterchuwa joined the game
[04Jul2025 00:17:32.694] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119633, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:32.695] [Server thread/INFO] [Easy NPC/]: Register default handler for Skeleton['entity.easy_npc.wither_skeleton'/119633, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant WITHER_SKELETON ...
[04Jul2025 00:17:32.695] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for Skeleton['skeleton demoniaco'/119633, l='ServerLevel[world]', x=-146.50, y=72.00, z=1081.50].
[04Jul2025 00:17:32.702] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119634, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:32.702] [Server thread/INFO] [Easy NPC/]: Register default handler for Skeleton['entity.easy_npc.wither_skeleton'/119634, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant WITHER_SKELETON ...
[04Jul2025 00:17:32.702] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for Skeleton['skeleton demoniaco'/119634, l='ServerLevel[world]', x=-204.50, y=91.00, z=1054.50].
[04Jul2025 00:17:32.730] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for HumanoidSlim['entity.easy_npc.humanoid_slim'/119644, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:32.731] [Server thread/INFO] [Easy NPC/]: Register default handler for HumanoidSlim['entity.easy_npc.humanoid_slim'/119644, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant ALEX ...
[04Jul2025 00:17:32.731] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for HumanoidSlim['entity.easy_npc.humanoid_slim'/119644, l='ServerLevel[world]', x=-288.50, y=92.00, z=1040.50].
[04Jul2025 00:17:32.742] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119646, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:32.742] [Server thread/INFO] [Easy NPC/]: Register default handler for Skeleton['entity.easy_npc.wither_skeleton'/119646, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant WITHER_SKELETON ...
[04Jul2025 00:17:32.742] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for Skeleton['skeleton demoniaco'/119646, l='ServerLevel[world]', x=-254.50, y=78.00, z=1025.50].
[04Jul2025 00:17:32.745] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119647, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:32.745] [Server thread/INFO] [Easy NPC/]: Register default handler for Skeleton['entity.easy_npc.wither_skeleton'/119647, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant WITHER_SKELETON ...
[04Jul2025 00:17:32.745] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for Skeleton['skeleton demoniaco'/119647, l='ServerLevel[world]', x=-269.50, y=77.00, z=1027.50].
[04Jul2025 00:17:32.746] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119648, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:32.746] [Server thread/INFO] [Easy NPC/]: Register default handler for Skeleton['entity.easy_npc.wither_skeleton'/119648, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant WITHER_SKELETON ...
[04Jul2025 00:17:32.747] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for Skeleton['skeleton demoniaco'/119648, l='ServerLevel[world]', x=-268.50, y=77.00, z=1025.50].
[04Jul2025 00:17:32.747] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119649, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:32.747] [Server thread/INFO] [Easy NPC/]: Register default handler for Skeleton['entity.easy_npc.wither_skeleton'/119649, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant WITHER_SKELETON ...
[04Jul2025 00:17:32.750] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for Skeleton['skeleton demoniaco'/119649, l='ServerLevel[world]', x=-261.50, y=78.00, z=1028.50].
[04Jul2025 00:17:32.751] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119650, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:32.752] [Server thread/INFO] [Easy NPC/]: Register default handler for Skeleton['entity.easy_npc.wither_skeleton'/119650, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant WITHER_SKELETON ...
[04Jul2025 00:17:32.752] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for Skeleton['skeleton demoniaco'/119650, l='ServerLevel[world]', x=-258.50, y=78.00, z=1025.50].
[04Jul2025 00:17:32.753] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119651, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:32.753] [Server thread/INFO] [Easy NPC/]: Register default handler for Skeleton['entity.easy_npc.wither_skeleton'/119651, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant WITHER_SKELETON ...
[04Jul2025 00:17:32.753] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for Skeleton['skeleton demoniaco'/119651, l='ServerLevel[world]', x=-257.58, y=78.00, z=1029.58].
[04Jul2025 00:17:32.802] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119663, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:32.802] [Server thread/INFO] [Easy NPC/]: Register default handler for Skeleton['entity.easy_npc.wither_skeleton'/119663, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant WITHER_SKELETON ...
[04Jul2025 00:17:32.803] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for Skeleton['skeleton demoniaco'/119663, l='ServerLevel[world]', x=-277.50, y=76.00, z=1027.50].
[04Jul2025 00:17:33.363] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for HumanoidSlim['entity.easy_npc.humanoid_slim'/119685, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:33.364] [Server thread/INFO] [Easy NPC/]: Register default handler for HumanoidSlim['entity.easy_npc.humanoid_slim'/119685, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant ALEX ...
[04Jul2025 00:17:33.364] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for HumanoidSlim['entity.easy_npc.humanoid_slim'/119685, l='ServerLevel[world]', x=-385.50, y=89.00, z=1222.50].
[04Jul2025 00:17:33.366] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119686, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:33.366] [Server thread/INFO] [Easy NPC/]: Register default handler for Skeleton['entity.easy_npc.wither_skeleton'/119686, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant WITHER_SKELETON ...
[04Jul2025 00:17:33.366] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for Skeleton['skeleton demoniaco'/119686, l='ServerLevel[world]', x=-99.50, y=68.00, z=1071.50].
[04Jul2025 00:17:33.369] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119688, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:33.370] [Server thread/INFO] [Easy NPC/]: Register default handler for Skeleton['entity.easy_npc.wither_skeleton'/119688, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant WITHER_SKELETON ...
[04Jul2025 00:17:33.370] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for Skeleton['Skeleton demonio arquero'/119688, l='ServerLevel[world]', x=-105.44, y=69.00, z=1082.44].
[04Jul2025 00:17:33.375] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119689, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:33.375] [Server thread/INFO] [Easy NPC/]: Register default handler for Skeleton['entity.easy_npc.wither_skeleton'/119689, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant WITHER_SKELETON ...
[04Jul2025 00:17:33.376] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for Skeleton['Skeleton demonio arquero'/119689, l='ServerLevel[world]', x=-106.50, y=69.00, z=1077.50].
[04Jul2025 00:17:33.376] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119690, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:33.376] [Server thread/INFO] [Easy NPC/]: Register default handler for Skeleton['entity.easy_npc.wither_skeleton'/119690, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant WITHER_SKELETON ...
[04Jul2025 00:17:33.376] [Server thread/INFO] [Easy NPC/]: Easy NPC Data version 3 for Skeleton['Skeleton demonio arquero'/119690, l='ServerLevel[world]', x=-100.50, y=76.00, z=1082.50].
[04Jul2025 00:17:33.377] [Server thread/INFO] [Easy NPC/]: Define custom server-side data for Skeleton['entity.easy_npc.wither_skeleton'/119691, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] ...
[04Jul2025 00:17:33.377] [Server thread/INFO] [Easy NPC/]: Register default handler for Skeleton['entity.easy_npc.wither_skeleton'/119691, l='ServerLevel[world]', x=0.00, y=0.00, z=0.00] with variant WITHER_SKELETON ...
